case_id,merchant_name,mcc_category,archetype,merchant_tenure_days,avg_daily_txn_30d,volume_spike_ratio,refund_rate_30d,chargeback_rate_90d,kyc_completeness_score,bank_account_changed_flag,days_since_bank_change,customer_complaint_count_30d,device_ip_diversity_score,night_txn_ratio,is_festive_period,prior_flags_count,prior_flags_confirmed_fraud,avg_ticket_size,ticket_size_change_ratio,label_is_fraud,risk_score,decision_tier,naive_freeze
CASE00406,Berry-Mckinney,beauty_cosmetics,festive_spike,180,107.3,3.25,0.088,0.0125,0.91,0,754,0,0.4,0.11,1,0,0,1094.0,0.82,0,0.04723753,auto_clear,1
CASE00407,Roberts-Sullivan,saas_subscription,account_takeover,130,39.5,2.17,0.002,0.0209,0.78,1,3,0,0.74,0.43,0,1,0,199.0,0.83,1,0.378721,agent_review,1
CASE00408,Jackson-Meza,grocery,festive_spike,377,96.7,5.11,0.106,0.0032,0.89,0,872,0,0.23,0.06,1,1,0,706.0,0.97,0,0.15144143,auto_clear,1
CASE00409,Collier-Gillespie,saas_subscription,organic_growth,400,140.9,1.16,0.029,0.0043,0.97,0,313,0,0.35,0.04,0,0,0,860.0,0.81,0,0.020058034,auto_clear,0
CASE00410,Kim Inc,travel_hospitality,card_testing_mule,39,133.9,4.98,0.03,0.0654,0.65,0,451,0,0.65,0.23,0,0,1,128.0,0.76,1,0.9692768,escalate,1
CASE00411,Graham Group,food_delivery,festive_spike,403,87.1,5.72,0.097,0.0093,0.94,0,676,0,0.16,0.08,1,1,0,702.0,0.96,0,0.20432363,agent_review,1
CASE00412,"Miller, Harrell and Reese",saas_subscription,organic_growth,507,230.3,1.12,0.08,0.0035,0.97,0,422,1,0.43,0.08,0,0,0,185.0,1.06,0,0.09563968,auto_clear,0
CASE00413,Cook and Sons,grocery,bank_account_update,300,71.5,0.55,0.02,0.0061,1.0,1,3,1,0.42,0.06,0,0,0,1217.0,1.08,0,0.17434594,auto_clear,1
CASE00414,Dixon Inc,grocery,festive_spike,333,184.5,3.75,0.086,0.0071,0.89,0,494,0,0.43,0.13,1,0,0,50.0,0.99,0,0.04245847,auto_clear,1
CASE00415,"Hicks, Bullock and Bailey",food_delivery,account_takeover,175,177.3,2.77,0.056,0.0029,0.96,1,2,3,0.84,0.32,0,0,0,549.0,1.16,1,0.89054376,escalate,1
CASE00416,"Mullen, Brewer and Hernandez",beauty_cosmetics,bank_account_update,300,166.2,0.99,0.036,0.0066,0.86,1,8,0,0.18,0.07,0,1,0,797.0,0.95,0,0.0483439,auto_clear,1
CASE00417,Thomas and Sons,food_delivery,organic_growth,620,75.1,0.97,0.019,0.004,0.92,0,294,1,0.35,0.19,0,0,0,147.0,1.11,0,0.0825422,auto_clear,0
CASE00418,Morrison Ltd,food_delivery,organic_growth,413,121.2,1.22,0.015,0.001,0.92,0,717,0,0.22,0.0,0,0,0,247.0,0.91,0,0.03201196,auto_clear,0
CASE00419,Thompson Ltd,electronics,account_takeover,543,52.7,1.82,0.075,0.0409,0.93,1,0,4,0.55,0.17,0,1,0,97.0,1.14,1,0.92801654,escalate,1
CASE00420,Marshall-Elliott,electronics,account_takeover,352,137.7,2.62,0.043,0.037,0.87,1,2,4,0.99,0.41,0,0,0,452.0,0.93,0,0.9745894,escalate,1
CASE00421,"Cole, Glass and Cunningham",fashion_apparel,organic_growth,1039,115.0,1.11,0.017,0.0018,0.95,0,595,0,0.31,0.09,0,0,0,1133.0,1.02,0,0.014341985,auto_clear,0
CASE00422,"Downs, Morris and Maddox",home_decor,festive_spike,579,181.2,3.23,0.061,0.0059,0.9,0,237,0,0.29,0.12,1,1,0,779.0,0.83,0,0.07689205,auto_clear,1
CASE00423,Hernandez-Jones,electronics,festive_spike,397,73.6,5.25,0.117,0.0042,0.86,0,320,0,0.25,0.07,1,0,0,933.0,0.88,0,0.22159296,agent_review,1
CASE00424,Welch-Hogan,electronics,bank_account_update,2032,147.0,1.07,0.051,0.0085,0.87,1,4,0,0.4,0.05,0,1,0,479.0,0.98,0,0.011839038,auto_clear,1
CASE00425,"Brown, Romero and Collins",home_decor,organic_growth,400,9.8,1.18,0.043,0.0032,1.0,0,803,0,0.27,0.1,0,0,0,296.0,0.84,0,0.030862266,auto_clear,0
CASE00426,Johnson-Wood,electronics,organic_growth,400,192.4,1.22,0.055,0.0023,0.92,0,644,0,0.42,0.0,0,0,0,768.0,0.86,0,0.07366151,auto_clear,0
CASE00427,Jones-Lin,grocery,account_takeover,365,168.1,3.05,0.012,0.0407,0.9,1,2,5,0.61,0.51,0,1,0,557.0,1.06,1,0.9783034,escalate,1
CASE00428,Gilbert PLC,education,festive_spike,470,149.7,3.35,0.128,0.0072,0.85,0,682,1,0.36,0.06,1,0,0,477.0,0.98,0,0.0568866,auto_clear,1
CASE00429,Ford-Spencer,education,organic_growth,400,149.0,1.23,0.027,0.0052,1.0,0,763,1,0.31,0.11,0,0,0,786.0,0.97,0,0.07024964,auto_clear,0
CASE00430,"Huang, Cole and Pacheco",handicrafts_d2c,organic_growth,400,169.9,1.01,0.035,0.0016,0.94,0,260,1,0.29,0.01,0,0,0,608.0,1.16,0,0.03887614,auto_clear,0
CASE00431,"Lopez, Jacobs and Mason",handicrafts_d2c,account_takeover,209,16.7,1.77,0.027,0.0248,0.72,1,3,1,0.92,0.36,0,0,0,479.0,0.91,0,0.6110291,agent_review,1
CASE00432,Hayes LLC,home_decor,account_takeover,1596,136.5,3.01,0.058,0.0014,0.77,1,4,5,0.76,0.25,0,1,0,865.0,1.08,0,0.16417947,auto_clear,1
CASE00433,"Miller, Lucas and Williams",food_delivery,organic_growth,464,138.1,1.09,0.043,0.0051,0.91,0,292,0,0.13,0.06,0,0,0,1518.0,1.06,0,0.040260408,auto_clear,0
CASE00434,"Kim, Gonzales and Mills",grocery,bank_account_update,454,191.6,0.84,0.04,0.0091,0.82,1,4,0,0.24,0.03,0,0,0,1048.0,1.17,0,0.054251432,auto_clear,1
CASE00435,Cox LLC,fashion_apparel,organic_growth,410,136.2,1.22,0.035,0.0028,0.96,0,592,1,0.35,0.05,0,1,0,1841.0,1.03,1,0.5148681,agent_review,0
CASE00436,Ortiz-Morgan,education,organic_growth,911,92.2,1.26,0.014,0.0022,1.0,0,628,1,0.29,0.04,0,0,0,1491.0,1.01,0,0.007992806,auto_clear,0
CASE00437,"Williams, Mccoy and Cook",handicrafts_d2c,card_testing_mule,59,100.5,5.17,0.082,0.0179,0.28,0,311,0,0.84,0.22,0,1,1,131.0,0.59,1,0.9313099,escalate,1
CASE00438,Davis-Gregory,electronics,card_testing_mule,12,147.5,2.67,0.029,0.0805,0.57,0,533,1,0.62,0.31,0,1,1,118.0,0.54,1,0.9203974,escalate,1
CASE00439,King-York,fashion_apparel,card_testing_mule,51,167.4,3.96,0.022,0.0434,0.54,0,472,0,0.86,0.45,0,2,0,337.0,0.29,1,0.91198623,escalate,1
CASE00440,"Marks, Cook and Aguilar",home_decor,account_takeover,633,86.6,2.84,0.066,0.0235,0.83,1,0,4,0.66,0.41,0,1,0,1031.0,0.93,1,0.9198143,escalate,1
CASE00441,Rangel LLC,fashion_apparel,account_takeover,340,200.4,2.29,0.05,0.0408,0.8,1,1,0,0.82,0.33,0,1,0,1234.0,1.09,0,0.46710855,agent_review,1
CASE00442,"Hale, Myers and Larson",travel_hospitality,bank_account_update,300,170.9,1.27,0.045,0.01,0.85,1,2,0,0.44,0.1,0,0,0,826.0,0.83,0,0.062143993,auto_clear,1
CASE00443,Collins Group,fashion_apparel,account_takeover,1400,138.1,2.4,0.014,0.0316,0.7,1,0,1,0.78,0.32,0,1,0,1242.0,0.93,1,0.8244639,escalate,1
CASE00444,"Conner, Li and Santiago",education,account_takeover,418,87.6,3.11,0.011,0.0,0.8,1,4,2,0.55,0.21,0,1,0,847.0,1.08,1,0.7337607,escalate,1
CASE00445,"Osborn, Gaines and Davis",education,card_testing_mule,13,155.2,3.27,0.05,0.061,0.97,0,395,0,0.53,0.0,0,2,0,79.0,0.3,0,0.90052855,escalate,1
CASE00446,"Henderson, Cox and Cox",grocery,account_takeover,360,159.8,3.16,0.041,0.0304,0.79,1,1,1,0.55,0.36,0,0,0,1464.0,0.94,0,0.36663568,agent_review,1
CASE00447,Bean LLC,beauty_cosmetics,account_takeover,671,158.5,3.14,0.07,0.0364,0.91,1,4,3,0.82,0.0,0,0,0,317.0,1.05,1,0.9256334,escalate,1
CASE00448,Lee-Cooke,food_delivery,bank_account_update,300,64.3,1.15,0.063,0.0051,0.84,1,8,0,0.25,0.02,0,0,0,656.0,0.92,1,0.053346362,auto_clear,1
CASE00449,Jones Inc,home_decor,card_testing_mule,42,96.1,5.54,0.08,0.0777,0.49,0,680,0,0.72,0.41,0,0,0,20.0,0.46,1,0.9832772,escalate,1
CASE00450,"Wise, Conley and Stephenson",grocery,festive_spike,180,138.4,4.05,0.096,0.0092,0.93,0,469,0,0.17,0.11,1,0,0,1061.0,0.89,0,0.059160054,auto_clear,1
CASE00451,Stanley PLC,education,festive_spike,180,5.0,3.1,0.137,0.0029,0.96,0,397,0,0.11,0.06,1,1,0,973.0,0.88,0,0.067498684,auto_clear,1
CASE00452,Harper and Sons,home_decor,festive_spike,180,203.4,5.02,0.09,0.0056,0.96,0,725,0,0.24,0.07,1,1,0,719.0,1.09,0,0.23248747,agent_review,1
CASE00453,White Ltd,education,festive_spike,365,97.6,4.67,0.143,0.0073,0.95,0,606,0,0.42,0.04,1,1,0,910.0,0.97,0,0.13434397,auto_clear,1
CASE00454,"Lamb, Martin and Kim",beauty_cosmetics,organic_growth,1040,164.1,1.18,0.011,0.005,0.89,0,211,0,0.35,0.18,0,0,0,1710.0,0.98,0,0.04195182,auto_clear,0
CASE00455,Diaz-Ball,food_delivery,card_testing_mule,35,105.8,3.03,0.063,0.1233,0.49,0,821,0,0.66,0.24,0,1,1,257.0,0.46,1,0.9306104,escalate,1
CASE00456,Bishop-Goodwin,grocery,organic_growth,433,121.7,1.33,0.037,0.0039,0.89,0,524,0,0.49,0.08,0,0,0,408.0,1.06,0,0.026271604,auto_clear,0
CASE00457,Young-Allen,fashion_apparel,bank_account_update,345,125.1,0.98,0.045,0.0077,1.0,1,2,0,0.25,0.04,0,0,0,967.0,1.1,0,0.049755666,auto_clear,1
CASE00458,Mckee-Lee,home_decor,bank_account_update,920,121.6,0.95,0.079,0.0084,0.99,1,4,0,0.44,0.15,0,0,0,1033.0,1.08,0,0.026147312,auto_clear,1
CASE00459,"Valentine, Joyce and Murray",home_decor,organic_growth,525,134.3,1.33,0.037,0.0045,0.96,0,359,0,0.16,0.05,0,0,0,1250.0,1.13,0,0.008763761,auto_clear,0
CASE00460,Strickland-Shaw,handicrafts_d2c,bank_account_update,396,138.2,1.58,0.048,0.0029,0.89,1,2,0,0.33,0.06,0,0,0,1417.0,1.03,1,0.4869525,agent_review,1
CASE00461,Burch-Montoya,food_delivery,bank_account_update,300,205.9,1.47,0.025,0.0099,1.0,1,2,0,0.29,0.0,0,0,0,892.0,1.02,0,0.14530964,auto_clear,1
CASE00462,"Taylor, Wright and Davidson",electronics,account_takeover,635,157.4,1.75,0.056,0.0309,0.97,1,3,1,0.74,0.31,0,1,0,234.0,0.95,1,0.35155216,agent_review,1
CASE00463,Spencer-Garcia,travel_hospitality,organic_growth,400,99.1,1.01,0.012,0.0002,0.95,0,750,0,0.28,0.1,0,0,0,588.0,0.92,0,0.033640042,auto_clear,0
CASE00464,"Rosales, Mitchell and Hines",travel_hospitality,card_testing_mule,7,23.8,7.38,0.016,0.0748,0.73,0,273,0,0.91,0.25,0,0,0,185.0,0.44,1,0.9858627,escalate,1
CASE00465,Cole-Palmer,food_delivery,bank_account_update,350,67.6,1.01,0.034,0.0039,0.84,1,2,0,0.22,0.1,0,0,0,559.0,0.88,0,0.048732843,auto_clear,1
CASE00466,Davis-Lozano,education,account_takeover,292,50.8,1.62,0.046,0.0575,0.96,1,3,3,0.55,0.25,0,0,0,382.0,0.85,1,0.889187,escalate,1
CASE00467,Wilkerson-Arias,food_delivery,festive_spike,180,126.3,5.51,0.106,0.0035,0.9,0,563,0,0.12,0.09,1,0,0,250.0,1.01,0,0.54900235,agent_review,1
CASE00468,Brown-Shaw,handicrafts_d2c,festive_spike,206,189.1,4.61,0.086,0.0063,0.96,0,802,0,0.28,0.14,1,0,0,906.0,1.02,0,0.1786312,auto_clear,1
CASE00469,Hughes Inc,food_delivery,bank_account_update,725,173.8,1.06,0.029,0.0045,0.79,1,8,0,0.33,0.15,0,0,0,644.0,0.99,0,0.06453276,auto_clear,1
CASE00470,Walker-Flores,food_delivery,card_testing_mule,7,82.8,4.34,0.045,0.0703,0.39,0,519,0,0.84,0.24,0,1,1,265.0,0.58,0,0.446038,agent_review,1
CASE00471,Combs Ltd,handicrafts_d2c,festive_spike,180,226.2,3.17,0.126,0.0036,0.91,0,466,0,0.37,0.0,1,1,0,714.0,0.84,1,0.4965601,agent_review,1
CASE00472,Moody-Taylor,electronics,festive_spike,180,142.2,5.38,0.075,0.0036,0.86,0,302,0,0.49,0.03,1,0,0,338.0,1.07,0,0.10113407,auto_clear,1
CASE00473,Lowery-Kennedy,beauty_cosmetics,account_takeover,448,106.0,2.03,0.038,0.0109,0.8,1,2,2,0.56,0.42,0,0,0,551.0,1.09,0,0.6805895,agent_review,1
CASE00474,Blake Group,education,account_takeover,464,83.5,1.41,0.045,0.0166,0.94,1,3,3,0.45,0.2,0,3,0,754.0,0.97,0,0.17917855,auto_clear,1
CASE00475,Gilbert-Bullock,home_decor,organic_growth,400,38.7,1.2,0.05,0.0046,0.94,0,571,1,0.33,0.06,0,0,0,782.0,1.12,0,0.07396729,auto_clear,0
CASE00476,Scott and Sons,education,account_takeover,173,44.6,2.65,0.054,0.0083,0.74,1,2,3,0.55,0.18,0,1,0,703.0,0.94,0,0.27410683,agent_review,1
CASE00477,"Bentley, Lynch and Henderson",grocery,organic_growth,400,150.6,1.04,0.048,0.005,0.96,0,801,0,0.19,0.1,0,0,0,979.0,0.86,0,0.017198272,auto_clear,0
CASE00478,Young-Martinez,handicrafts_d2c,festive_spike,474,168.8,3.71,0.114,0.0045,0.89,0,463,0,0.35,0.08,1,0,0,951.0,1.0,0,0.12480222,auto_clear,1
CASE00479,Barnes PLC,fashion_apparel,organic_growth,480,123.5,1.19,0.052,0.0032,0.93,0,637,0,0.38,0.04,0,0,0,1233.0,1.13,0,0.017400684,auto_clear,0
CASE00480,Brown-Copeland,education,account_takeover,633,233.0,1.99,0.018,0.0422,1.0,1,3,2,0.65,0.31,0,0,0,1094.0,0.93,1,0.811039,escalate,1
CASE00481,Carlson-Smith,grocery,festive_spike,757,49.2,3.12,0.078,0.0058,0.92,0,839,1,0.35,0.03,1,0,0,686.0,1.02,0,0.06570076,auto_clear,1
CASE00482,"Andrews, Higgins and Carter",beauty_cosmetics,card_testing_mule,17,167.6,2.71,0.005,0.0645,0.42,0,896,1,0.77,0.33,0,0,0,65.0,0.68,0,0.1647715,auto_clear,1
CASE00483,Mendez and Sons,fashion_apparel,card_testing_mule,28,42.4,7.74,0.077,0.0582,0.41,0,208,0,0.65,0.28,0,2,0,292.0,0.69,1,0.9681364,escalate,1
CASE00484,"Butler, Beck and Miller",education,card_testing_mule,53,162.9,6.44,0.048,0.0663,0.63,0,719,0,0.69,0.35,0,3,1,143.0,0.39,1,0.99873143,escalate,1
CASE00485,Jones-Fox,travel_hospitality,bank_account_update,300,125.9,1.29,0.061,0.0038,0.9,1,2,0,0.44,0.07,0,0,0,819.0,1.01,0,0.13274933,auto_clear,1
CASE00486,"Hartman, Romero and Smith",handicrafts_d2c,festive_spike,260,232.8,3.32,0.139,0.0076,0.87,0,272,0,0.22,0.11,1,0,0,888.0,0.98,0,0.041036174,auto_clear,1
CASE00487,Williams-Hughes,travel_hospitality,festive_spike,201,153.9,2.76,0.071,0.0,0.87,0,300,1,0.23,0.18,1,0,0,911.0,0.88,0,0.04353576,auto_clear,1
CASE00488,King-Smith,fashion_apparel,card_testing_mule,46,84.3,5.87,0.028,0.0316,0.6,0,899,1,0.58,0.34,0,1,1,206.0,0.22,1,0.9891054,escalate,1
CASE00489,Cooper Ltd,food_delivery,organic_growth,400,185.8,1.26,0.024,0.0018,0.93,0,691,0,0.29,0.11,0,0,0,764.0,0.98,0,0.06371296,auto_clear,0
CASE00490,"Fuller, Ingram and Moss",beauty_cosmetics,card_testing_mule,27,196.5,2.74,0.007,0.0642,0.55,0,505,0,0.87,0.47,0,2,0,137.0,0.26,0,0.34257892,agent_review,1
CASE00491,Anderson-Bell,education,account_takeover,488,159.9,2.48,0.091,0.0174,0.93,1,2,1,0.87,0.31,0,0,0,971.0,0.95,1,0.7688044,escalate,1
CASE00492,Li-Thompson,food_delivery,account_takeover,385,113.5,2.33,0.044,0.0398,0.88,1,4,4,0.58,0.52,0,1,0,628.0,0.89,1,0.9469479,escalate,1
CASE00493,"Marshall, Dominguez and Welch",electronics,festive_spike,470,156.3,2.58,0.091,0.0038,0.91,0,828,1,0.46,0.18,1,1,0,184.0,0.86,0,0.05642285,auto_clear,1
CASE00494,Brown Group,electronics,festive_spike,874,69.4,5.33,0.123,0.0036,0.93,0,865,0,0.22,0.07,1,0,0,828.0,1.11,1,0.6573842,agent_review,1
CASE00495,Carter Inc,home_decor,festive_spike,631,12.3,5.13,0.092,0.0,0.87,0,374,0,0.32,0.08,1,0,0,766.0,0.92,0,0.24879402,agent_review,1
CASE00496,Blackwell LLC,fashion_apparel,bank_account_update,372,94.7,1.2,0.054,0.0023,1.0,1,7,0,0.12,0.06,0,0,0,879.0,1.16,0,0.039222673,auto_clear,1
CASE00497,Robertson-Hays,saas_subscription,account_takeover,417,155.3,2.35,0.051,0.0274,0.88,1,3,0,0.77,0.44,0,0,0,1322.0,0.96,0,0.50549936,agent_review,1
CASE00498,"Kennedy, Johnson and Lucas",grocery,account_takeover,204,165.2,1.65,0.004,0.011,1.0,1,1,4,0.52,0.46,0,1,0,283.0,0.89,1,0.9047427,escalate,1
CASE00499,Kelly-Norman,fashion_apparel,organic_growth,478,32.8,1.04,0.027,0.003,0.96,0,658,2,0.19,0.07,0,0,0,84.0,0.99,0,0.09181903,auto_clear,0
CASE00500,"Rivera, Martinez and Richardson",education,account_takeover,313,152.4,1.73,0.029,0.0241,0.96,1,1,1,0.76,0.39,0,1,0,1298.0,0.8,1,0.7826402,escalate,1
CASE00501,Paul-Kline,saas_subscription,organic_growth,400,276.7,1.06,0.0,0.0,0.99,0,493,0,0.27,0.11,0,0,0,1275.0,0.99,0,0.016714623,auto_clear,0
CASE00502,Morgan-Lopez,handicrafts_d2c,bank_account_update,300,147.3,1.02,0.086,0.0106,0.78,1,1,0,0.26,0.05,0,1,0,614.0,0.98,0,0.03344666,auto_clear,1
CASE00503,"Jimenez, Glass and Stone",handicrafts_d2c,account_takeover,283,203.4,2.07,0.042,0.0,0.84,1,1,4,0.73,0.53,0,0,0,325.0,1.0,1,0.903519,escalate,1
CASE00504,Acosta Inc,grocery,organic_growth,561,103.5,1.16,0.075,0.0026,0.97,0,646,0,0.26,0.09,0,0,0,742.0,0.92,0,0.02547628,auto_clear,0
CASE00505,Morrison-Short,education,bank_account_update,300,36.1,0.95,0.039,0.0,0.79,1,1,0,0.23,0.07,0,0,0,57.0,1.13,0,0.1230671,auto_clear,1
CASE00506,"Carter, Garcia and Murphy",beauty_cosmetics,card_testing_mule,19,120.5,3.67,0.024,0.11,0.7,0,446,0,0.85,0.29,0,2,1,20.0,0.23,0,0.43053573,agent_review,1
CASE00507,Parker-Morrison,grocery,account_takeover,734,106.9,1.82,0.031,0.0102,0.78,1,1,0,0.55,0.09,0,1,0,1315.0,0.98,0,0.05714991,auto_clear,1
CASE00508,Jackson-Wallace,fashion_apparel,organic_growth,400,125.1,1.26,0.043,0.002,0.91,0,723,0,0.26,0.03,0,0,0,636.0,1.1,0,0.020683127,auto_clear,0
CASE00509,Williams-Berg,travel_hospitality,festive_spike,614,201.8,4.41,0.064,0.0041,0.92,0,403,0,0.24,0.04,1,0,0,450.0,1.08,0,0.09075504,auto_clear,1
CASE00510,Mendez-Graham,education,festive_spike,308,121.5,5.79,0.064,0.0016,0.93,0,257,0,0.4,0.08,1,0,0,1336.0,0.82,0,0.34126705,agent_review,1
CASE00511,"Whitney, Gould and Jones",handicrafts_d2c,card_testing_mule,45,123.4,4.31,0.0,0.069,0.95,0,885,0,0.79,0.36,0,1,0,116.0,0.66,1,0.8460795,escalate,1
CASE00512,"Sullivan, Palmer and Brady",grocery,card_testing_mule,50,193.3,3.37,0.064,0.092,0.71,0,728,0,1.0,0.35,0,2,0,106.0,0.57,1,0.9571959,escalate,1
CASE00513,Cisneros and Sons,travel_hospitality,organic_growth,400,76.0,1.02,0.056,0.0021,0.96,0,666,0,0.35,0.06,0,0,0,326.0,0.97,0,0.0320818,auto_clear,0
CASE00514,"Gregory, Kim and Martinez",food_delivery,bank_account_update,599,131.0,0.97,0.0,0.0076,0.81,1,5,0,0.27,0.03,0,0,0,238.0,0.91,0,0.025133003,auto_clear,1
CASE00515,Osborne LLC,saas_subscription,bank_account_update,354,130.1,0.92,0.031,0.0074,0.76,1,1,0,0.23,0.0,0,0,0,491.0,0.97,0,0.0924181,auto_clear,1
CASE00516,Reyes-Bradley,grocery,bank_account_update,675,156.5,1.03,0.038,0.0049,1.0,1,2,0,0.42,0.04,0,0,0,775.0,0.89,0,0.024782997,auto_clear,1
CASE00517,"Hernandez, Cole and Watson",home_decor,account_takeover,236,130.2,2.57,0.047,0.005,0.88,1,2,4,0.6,0.27,0,0,0,1524.0,1.06,0,0.5587764,agent_review,1
CASE00518,Hines-Berry,beauty_cosmetics,festive_spike,180,71.3,3.84,0.07,0.0013,0.85,0,437,1,0.21,0.06,1,1,0,1874.0,1.06,0,0.11129374,auto_clear,1
CASE00519,"Richardson, Edwards and Ramirez",grocery,account_takeover,423,137.8,2.72,0.021,0.0162,0.97,1,0,3,0.53,0.34,0,0,0,319.0,0.98,1,0.9421569,escalate,1
CASE00520,Johnson and Sons,home_decor,organic_growth,408,123.4,1.01,0.052,0.0046,0.94,0,658,0,0.27,0.09,0,0,0,1011.0,0.91,0,0.03676213,auto_clear,0
CASE00521,Holmes-Mcintyre,grocery,bank_account_update,300,103.7,1.2,0.035,0.006,0.88,1,1,1,0.47,0.08,0,0,0,971.0,0.95,0,0.22096865,agent_review,1
CASE00522,Green LLC,food_delivery,organic_growth,400,52.6,1.08,0.029,0.0047,0.93,0,229,0,0.38,0.14,0,0,0,842.0,1.04,0,0.15054199,auto_clear,0
CASE00523,"Griffin, Davies and Mitchell",electronics,bank_account_update,300,135.3,1.33,0.045,0.0067,0.98,1,6,0,0.34,0.16,0,0,0,1020.0,1.09,0,0.08046097,auto_clear,1
CASE00524,Gonzalez-Taylor,electronics,card_testing_mule,51,200.4,6.82,0.057,0.0246,0.43,0,394,0,0.8,0.35,0,0,0,252.0,0.44,1,0.9957326,escalate,1
CASE00525,Hayes Ltd,beauty_cosmetics,card_testing_mule,8,115.4,5.78,0.026,0.1286,0.66,0,846,0,1.0,0.21,0,0,0,114.0,0.61,1,0.9510909,escalate,1
CASE00526,Osborn-Cochran,saas_subscription,account_takeover,337,164.9,2.13,0.027,0.0274,0.93,1,1,1,0.54,0.22,0,1,0,1032.0,1.06,1,0.6001142,agent_review,1
CASE00527,Contreras-Mckinney,education,festive_spike,365,71.5,4.92,0.079,0.0069,0.94,0,549,0,0.24,0.13,1,0,0,343.0,0.98,1,0.4964866,agent_review,1
CASE00528,"Daniels, Vance and York",saas_subscription,organic_growth,702,175.5,1.25,0.04,0.0028,0.98,0,787,0,0.31,0.04,0,0,0,50.0,0.96,0,0.02225767,auto_clear,0
CASE00529,"Mckinney, Graves and Thompson",grocery,account_takeover,472,79.2,1.84,0.026,0.0245,1.0,1,2,1,0.78,0.36,0,0,0,606.0,0.81,0,0.12619449,auto_clear,1
CASE00530,Hicks-Martinez,handicrafts_d2c,account_takeover,873,237.0,1.45,0.075,0.0079,0.77,1,1,3,0.78,0.32,0,0,0,843.0,0.96,0,0.107800275,auto_clear,1
CASE00531,Conner and Sons,electronics,card_testing_mule,35,139.9,6.51,0.083,0.0168,0.37,0,544,1,1.0,0.28,0,2,0,261.0,0.51,1,0.9964839,escalate,1
CASE00532,Johnson-Spencer,beauty_cosmetics,festive_spike,386,140.4,2.73,0.115,0.0,0.87,0,800,0,0.23,0.08,1,0,0,275.0,0.94,0,0.022065053,auto_clear,1
CASE00533,Mcdonald-Bird,travel_hospitality,organic_growth,442,143.5,1.12,0.027,0.0041,1.0,0,634,0,0.38,0.01,0,0,0,1114.0,0.82,0,0.04049673,auto_clear,0
CASE00534,Salazar Inc,education,bank_account_update,300,87.7,1.33,0.029,0.0041,0.86,1,9,0,0.14,0.13,0,0,0,865.0,1.08,1,0.1942718,auto_clear,1
CASE00535,Parker Ltd,grocery,festive_spike,959,93.4,4.25,0.147,0.002,1.0,0,526,0,0.5,0.05,1,1,0,780.0,0.85,0,0.10368005,auto_clear,1
CASE00536,"Mendoza, Jenkins and Ortiz",fashion_apparel,card_testing_mule,3,131.8,5.44,0.071,0.0594,0.55,0,397,1,0.73,0.3,0,2,0,171.0,0.57,1,0.9839092,escalate,1
CASE00537,"Jones, Compton and Day",food_delivery,card_testing_mule,33,58.1,5.53,0.054,0.1007,0.7,0,349,0,0.5,0.12,0,0,0,128.0,0.42,1,0.98740804,escalate,1
CASE00538,Owens-Holmes,handicrafts_d2c,bank_account_update,367,155.5,1.01,0.009,0.0052,0.85,1,6,0,0.23,0.0,0,0,0,932.0,0.85,0,0.05159102,auto_clear,1
CASE00539,Humphrey PLC,handicrafts_d2c,bank_account_update,899,111.2,1.09,0.027,0.0031,0.69,1,3,0,0.39,0.11,0,0,0,157.0,0.99,0,0.06021934,auto_clear,1
CASE00540,"Matthews, Saunders and Anderson",electronics,card_testing_mule,66,99.4,3.46,0.036,0.0688,0.74,0,359,0,0.85,0.42,0,0,1,161.0,0.46,1,0.9292445,escalate,1
CASE00541,"Bartlett, Brown and Martinez",home_decor,bank_account_update,691,131.9,1.56,0.013,0.0069,0.87,1,3,0,0.23,0.08,0,0,0,472.0,1.06,0,0.10575682,auto_clear,1
CASE00542,Torres and Sons,travel_hospitality,festive_spike,907,38.2,4.45,0.07,0.0076,0.88,0,748,0,0.13,0.04,1,1,0,1519.0,1.13,0,0.011389175,auto_clear,1
CASE00543,Donovan-Perez,grocery,festive_spike,719,123.2,3.22,0.066,0.0027,0.91,0,644,0,0.28,0.1,1,0,0,1073.0,0.98,1,0.3758563,agent_review,1
CASE00544,"Jacobson, Singleton and King",fashion_apparel,organic_growth,789,137.0,1.18,0.066,0.0,1.0,0,896,1,0.32,0.19,0,0,0,939.0,0.97,0,0.032942537,auto_clear,0
CASE00545,"Huber, Hill and Weber",fashion_apparel,festive_spike,640,240.9,3.85,0.106,0.0104,1.0,0,391,0,0.24,0.08,1,0,0,50.0,0.98,0,0.107519746,auto_clear,1
CASE00546,"Ferguson, Shaw and Jackson",home_decor,bank_account_update,680,172.0,1.13,0.009,0.0072,0.89,1,1,0,0.17,0.11,0,0,0,50.0,0.97,0,0.05730935,auto_clear,1
CASE00547,"Moore, Hopkins and Le",home_decor,card_testing_mule,48,185.7,2.92,0.011,0.0595,0.85,0,757,0,0.71,0.53,0,0,0,81.0,0.91,1,0.882832,escalate,1
CASE00548,"Morgan, Bradshaw and Williams",fashion_apparel,organic_growth,400,194.9,1.07,0.051,0.001,1.0,0,475,1,0.31,0.07,0,1,0,916.0,0.92,0,0.029938733,auto_clear,0
CASE00549,Miller Ltd,home_decor,festive_spike,180,87.2,3.2,0.053,0.005,0.84,0,293,1,0.39,0.02,1,0,0,796.0,1.0,0,0.041079864,auto_clear,1
